time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2022-06-29T15:37:39.060Z, 34.33583, -119.20467,  10.28, KILOMETER,   2.7, Ml
2022-06-29T04:19:36.690Z, 33.18133, -115.60733,   2.96, KILOMETER,  3.02, Ml
2022-06-27T19:51:31.740Z, 35.65267, -117.45800,   1.33, KILOMETER,   2.1, Ml
2022-06-27T06:51:27.410Z, 32.64467, -115.72067,   9.34, KILOMETER,  2.07, Ml
2022-06-27T04:13:23.370Z, 33.84117, -118.52917,  10.77, KILOMETER,  2.27, Ml
2022-06-27T01:03:32.930Z, 32.64733, -115.72367,   9.58, KILOMETER,  2.23, Ml
2022-06-27T00:27:04.780Z, 32.64967, -115.71717,   9.30, KILOMETER,  2.52, Ml
2022-06-26T21:27:03.810Z, 34.85150, -118.96683,  12.06, KILOMETER,  2.23, Ml
2022-06-26T16:59:16.950Z, 34.48050, -118.98033,  10.29, KILOMETER,   2.0, Ml
2022-06-26T16:36:35.590Z, 33.83717, -118.53417,  12.89, KILOMETER,  2.17, Ml
2022-06-26T09:45:05.100Z, 33.98767, -118.34867,  10.96, KILOMETER,  2.28, Ml
2022-06-26T06:32:25.610Z, 32.70283, -115.44783,  11.90, KILOMETER,   2.5, Ml
2022-06-25T23:57:12.700Z, 33.70917, -116.84400,  15.53, KILOMETER,  2.14, Ml
2022-06-25T15:15:23.650Z, 35.40117, -118.64783,   5.39, KILOMETER,  2.02, Ml
2022-06-25T11:17:29.040Z, 35.64283, -117.45483,   6.63, KILOMETER,  2.06, Ml
2022-06-25T08:13:57.390Z, 32.85883, -116.17417,   6.13, KILOMETER,   2.5, Ml
2022-06-24T22:32:23.570Z, 32.65200, -115.71933,  10.49, KILOMETER,  2.63, Ml
2022-06-24T22:30:53.020Z, 32.64417, -115.72467,  11.15, KILOMETER,  3.42, Ml
2022-06-24T18:13:36.900Z, 32.64617, -115.72467,   9.79, KILOMETER,  2.09, Ml
2022-06-24T09:07:21.680Z, 33.76883, -117.08533,  14.13, KILOMETER,  2.04, Ml
2022-06-24T06:51:34.700Z, 32.64900, -115.73433,   3.17, KILOMETER,  2.09, Ml
2022-06-24T05:50:52.660Z, 36.97317, -117.58650,   7.24, KILOMETER,  2.41, Ml
2022-06-24T05:41:25.520Z, 36.97933, -117.59217,   8.97, KILOMETER,  2.21, Ml
2022-06-24T05:40:34.450Z, 36.97017, -117.59583,   5.22, KILOMETER,  2.32, Ml
2022-06-24T05:21:21.050Z, 36.97300, -117.59617,   5.91, KILOMETER,  2.05, Ml
2022-06-24T03:24:38.270Z, 34.22317, -117.62067,  10.10, KILOMETER,  2.01, Ml
