#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
AZ|BZN|33.4915|-116.667|1301.0|Buzz Northerns Place, Anza, CA, USA|1983-01-20T00:00:00|3000-01-01T00:00:00
AZ|CPE|32.8889|-117.1051|150.0|Camp Elliot, Miramar, CA, USA|2004-05-04T00:00:00|3000-01-01T00:00:00
AZ|CRY|33.5654|-116.7373|1128.0|Cary Ranch, Anza, CA, USA|1982-10-01T00:00:00|3000-01-01T00:00:00
AZ|FRD|33.4947|-116.6022|1164.0|Ford Ranch, Anza, CA, USA|1982-10-01T00:00:00|3000-01-01T00:00:00
AZ|KNW|33.7141|-116.7119|1507.0|Keenwild Fire Station, Mountain Center, CA, USA|1982-10-01T00:00:00|3000-01-01T00:00:00
AZ|LVA2|33.3516|-116.5615|1435.0|Lost Valley Scout Camp, CA, USA|1993-04-18T00:00:00|3000-01-01T00:00:00
AZ|MONP2|32.892|-116.4223|1875.0|Monument Peak TA Vault, Mt. Laguna, CA, USA|2007-09-15T00:00:00|3000-01-01T00:00:00
AZ|PFO|33.6117|-116.4594|1259.0|Pinyon Flats Observatory, CA, USA|1982-10-01T00:00:00|3000-01-01T00:00:00
AZ|RDM|33.63|-116.8478|1365.0|Red Mountain, Riverside Co, CA, USA|1982-10-01T00:00:00|3000-01-01T00:00:00
AZ|SCI2|32.915|-118.4879|486.0|San Clemente Island, CA, USA|2002-09-23T00:00:00|3000-01-01T00:00:00
AZ|SIO5|32.8407|-117.2497|217.0|Mt. Soledad, La Jolla, CA|2017-05-23T00:00:00|3000-01-01T00:00:00
AZ|SMER|33.4577|-117.1708|355.7|Santa Margarita Ecological Reserve, CA, USA|2002-02-09T00:00:00|3000-01-01T00:00:00
AZ|SND|33.5519|-116.6129|1358.0|Jim Saunders Place, Anza, CA, USA|1982-10-01T00:00:00|3000-01-01T00:00:00
AZ|TRO|33.5234|-116.4257|2628.0|Toro Peak, Riverside Co, CA, USA|1982-10-01T00:00:00|3000-01-01T00:00:00
AZ|WMC|33.5736|-116.6747|1271.0|Walmic Ranch, Anza, CA, USA|1983-09-16T00:00:00|3000-01-01T00:00:00
BC|CBX|32.3131|-116.6636|1250.0|CERRO BOLA MEX|2002-02-22T18:00:00|3000-01-01T00:00:00
BC|CPX|32.4195|-115.305|192.0|CERRO PRIETO|2009-10-30T20:00:00|3000-01-01T00:00:00
BC|GUVIX|32.3029|-115.076|10.0|Guadalupe Victoria|2014-06-13T00:00:00|3000-01-01T00:00:00
BC|PESCX|32.4338|-114.9649|0.0|Pescaderos la 14|2015-06-24T00:00:00|3000-01-01T00:00:00
BC|RHX|32.135|-115.2843|16.0|Rancho Hardy|2013-08-26T00:00:00|3000-01-01T00:00:00
BC|RITX|32.166|-114.96158|9.0|Riito|2015-06-18T00:00:00|3000-01-01T00:00:00
BC|RMX|32.5535|-116.0288|1278.0|Rumorosa|2011-10-11T00:00:00|3000-01-01T00:00:00
BC|SJX|32.0048|-115.948|1616.0|Sierra de Juarez|2012-03-20T00:00:00|3000-01-01T00:00:00
BC|SLRCX|32.4579|-114.7049|47.0|San Luis Rio Colorado|2015-06-05T23:46:32|3000-01-01T00:00:00
BC|SLRX|32.45885|-114.706|49.0|San Luis Rio Colorado|2014-06-13T20:30:00|3000-01-01T00:00:00
BC|TJX|32.51017|-117.0543|210.0|Tijuana|2011-08-08T00:00:00|3000-01-01T00:00:00
BC|TKX|32.5687|-116.6075|541.0|Tecate|2011-10-11T00:00:00|3000-01-01T00:00:00
BC|TLX|32.448|-115.0587|15.0|Tlaxcala|2013-05-22T00:00:00|3000-01-01T00:00:00
BC|UABX|32.6316|-115.4447|44.3|UABC Campus Mexicali|2011-06-30T00:00:00|3000-01-01T00:00:00
BC|YUCAX|32.6054|-115.0094|0.0|Ejido Yucatan|2015-06-22T00:00:00|3000-01-01T00:00:00
BK|BABI|36.51579|-120.85301|571.2|Babies Gulch, Panoche, CA|2019-05-23T00:00:00|3000-01-01T00:00:00
BK|BRAD|35.92625|-120.76114|470.0|Bradley, CA|2021-06-03T22:00:00|3000-01-01T00:00:00
BK|CGRV|36.79147|-118.66033|1449.0|Cedar Grove|2020-11-14T01:00:00|3000-01-01T00:00:00
BK|FORD|36.6879|-121.78054|34.4|Fort Ord Natural Reserve, Marina, CA|2019-07-25T00:00:00|3000-01-01T00:00:00
BK|HAS2|36.38546|-121.56139|603.8|Hastings 2|2021-05-18T21:00:00|3000-01-01T00:00:00
BK|HELL|36.680111|-119.02282|1140.0|Rademacher Property, Miramonte, CA, USA|2008-04-03T01:47:00|3000-01-01T00:00:00
BK|HULI|36.02134|-121.23554|342.0|Fort Hunter Liggett, CA|2017-08-11T18:00:00|3000-01-01T00:00:00
BK|KARE|36.59736|-119.50381|104.1|Kearney REC, Parlier, CA|2018-12-03T00:00:00|3000-01-01T00:00:00
